state_name,year,access,mtbs_class,area_km2
Arizona,2010,roaded,4,25.986969
Arizona,2010,roaded,5,1.414809
Arizona,2010,roaded,6,4.9690710000000005
Arizona,2010,roadless,0,0.0009
Arizona,2010,roadless,1,0.392904
Arizona,2010,roadless,2,1.0844189999999998
Arizona,2010,roadless,3,0.08783099999999999
Arizona,2010,roadless,4,0.0
Arizona,2010,roadless,5,0.0018
Arizona,2010,roadless,6,0.9653489999999999
Arizona,2010,wilderness,0,0.0
Arizona,2010,wilderness,1,4.119093
Arizona,2010,wilderness,2,7.659126
Arizona,2010,wilderness,3,4.642551
Arizona,2010,wilderness,4,7.1267309999999995
Arizona,2010,wilderness,5,0.098991
Arizona,2010,wilderness,6,0.50418
Arizona,2011,roaded,0,0.0
Arizona,2011,roaded,1,411.46813799999995
Arizona,2011,roaded,2,779.9971409999999
Arizona,2011,roaded,3,402.885072
Arizona,2011,roaded,4,224.35524899999996
Arizona,2011,roaded,5,34.483419
Arizona,2011,roaded,6,156.064365
Arizona,2011,roadless,0,0.0009
Arizona,2011,roadless,1,65.572785
Arizona,2011,roadless,2,104.67529199999998
Arizona,2011,roadless,3,77.039361
Arizona,2011,roadless,4,30.029355
Arizona,2011,roadless,5,4.928481
Arizona,2011,roadless,6,13.086477
Arizona,2011,wilderness,0,0.0
Arizona,2011,wilderness,1,58.145823
Arizona,2011,wilderness,2,139.74372
Arizona,2011,wilderness,3,116.091189
Arizona,2011,wilderness,4,68.474925
Arizona,2011,wilderness,5,3.4447589999999995
Arizona,2011,wilderness,6,8.39934
Arizona,2012,roaded,0,0.0
Arizona,2012,roaded,1,28.582487999999998
Arizona,2012,roaded,2,65.85417899999999
Arizona,2012,roaded,3,50.428233
Arizona,2012,roaded,4,17.858376
Arizona,2012,roaded,5,0.286038
Arizona,2012,roaded,6,9.113994
Arizona,2012,roadless,0,0.0009
Arizona,2012,roadless,1,3.921236999999999
Arizona,2012,roadless,2,6.672978
Arizona,2012,roadless,3,1.7546040000000003
Arizona,2012,roadless,4,0.035955
Arizona,2012,roadless,5,0.018000000000000002
Arizona,2012,roadless,6,2.6847000000000003
Arizona,2012,wilderness,0,0.0
Arizona,2012,wilderness,1,3.4060409999999997
Arizona,2012,wilderness,2,8.192034
Arizona,2012,wilderness,3,5.967801
Arizona,2012,wilderness,4,0.165069
Arizona,2012,wilderness,5,0.100962
Arizona,2012,wilderness,6,0.33683399999999997
Arizona,2013,roaded,0,0.0
Arizona,2013,roaded,1,12.465036
Arizona,2013,roaded,2,18.333432000000002
Arizona,2013,roaded,3,6.624261000000001
Arizona,2013,roaded,4,1.184949
Arizona,2013,roaded,5,0.1332
Arizona,2013,roaded,6,0.0
Arizona,2013,roadless,0,0.0009
Arizona,2013,roadless,1,0.0
Arizona,2013,roadless,2,0.0
Arizona,2013,roadless,3,0.0
Arizona,2013,roadless,4,0.0
Arizona,2013,roadless,5,0.0
Arizona,2013,roadless,6,0.0
Arizona,2013,wilderness,0,0.0
Arizona,2013,wilderness,1,1.630764
Arizona,2013,wilderness,2,2.509668
Arizona,2013,wilderness,3,6.441039
Arizona,2013,wilderness,4,2.6949509999999997
Arizona,2013,wilderness,5,0.0
Arizona,2013,wilderness,6,0.0
Arizona,2014,roaded,0,0.0
Arizona,2014,roaded,1,45.150245999999996
Arizona,2014,roaded,2,164.61636299999998
Arizona,2014,roaded,3,28.18152
Arizona,2014,roaded,4,11.616624
Arizona,2014,roaded,5,1.049949
Arizona,2014,roaded,6,9.1791
Arizona,2014,roadless,0,0.0009
Arizona,2014,roadless,1,1.542321
Arizona,2014,roadless,2,4.4772479999999995
Arizona,2014,roadless,3,0.716796
Arizona,2014,roadless,4,0.069381
Arizona,2014,roadless,5,0.006650999999999999
Arizona,2014,roadless,6,0.0
Arizona,2014,wilderness,0,0.0
Arizona,2014,wilderness,1,7.1222129999999995
Arizona,2014,wilderness,2,25.803468
Arizona,2014,wilderness,3,19.752416999999998
Arizona,2014,wilderness,4,6.921161999999999
Arizona,2014,wilderness,5,0.032400000000000005
Arizona,2014,wilderness,6,0.0
Arizona,2015,roaded,0,0.0
Arizona,2015,roaded,1,69.600321
Arizona,2015,roaded,2,162.671472
Arizona,2015,roaded,3,13.640741999999998
Arizona,2015,roaded,4,1.6247969999999998
Arizona,2015,roaded,5,0.1575
Arizona,2015,roaded,6,3.4802999999999997
Arizona,2015,roadless,0,0.0009
Arizona,2015,roadless,1,3.8248379999999997
Arizona,2015,roadless,2,7.967709
Arizona,2015,roadless,3,1.331316
Arizona,2015,roadless,4,0.824616
Arizona,2015,roadless,5,0.0
Arizona,2015,roadless,6,0.0
Arizona,2015,wilderness,0,0.0
Arizona,2015,wilderness,1,3.249225
Arizona,2015,wilderness,2,10.632897
Arizona,2015,wilderness,3,2.1318479999999997
Arizona,2015,wilderness,4,0.143487
Arizona,2015,wilderness,5,0.0018
Arizona,2015,wilderness,6,0.3231
Arizona,2016,roaded,0,0.0
Arizona,2016,roaded,1,104.047614
Arizona,2016,roaded,2,216.15146099999998
Arizona,2016,roaded,3,68.490072
Arizona,2016,roaded,4,15.050079
Arizona,2016,roaded,5,1.5907499999999999
Arizona,2016,roaded,6,3.1086
Arizona,2016,roadless,0,0.0009
Arizona,2016,roadless,1,10.646865
Arizona,2016,roadless,2,23.500449
Arizona,2016,roadless,3,5.502293999999999
Arizona,2016,roadless,4,0.492705
Arizona,2016,roadless,5,0.019799999999999998
Arizona,2016,roadless,6,0.0
Arizona,2016,wilderness,0,0.0
Arizona,2016,wilderness,1,20.272751999999997
Arizona,2016,wilderness,2,41.434497
Arizona,2016,wilderness,3,10.844406
Arizona,2016,wilderness,4,0.472869
Arizona,2016,wilderness,5,0.21825
Arizona,2016,wilderness,6,0.0027
Arizona,2017,roaded,0,0.0
Arizona,2017,roaded,1,104.80155299999998
Arizona,2017,roaded,2,319.760892
Arizona,2017,roaded,3,65.45804399999999
Arizona,2017,roaded,4,18.872046
Arizona,2017,roaded,5,1.4613749999999999
Arizona,2017,roaded,6,3.1404419999999997
